U 20 | F 040960 | FPS 0674 | D 62 | rR:μσmM 0.12 0.22 0.00 0.65 | F:μσmM 290.2 65.2 125.0 324.0 | H 1.923 | V 0.024 | pL -0.001 | vL 0.001 | ∇ 0.026
Status saved
U 20 | F 040960 | FPS 0653 | D 62 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.944 | V 0.006 | pL 0.001 | vL 0.000 | ∇ 0.004
Status saved
U 21 | F 043008 | FPS 0677 | D 65 | rR:μσmM 0.12 0.21 0.00 0.65 | F:μσmM 292.3 63.4 125.0 324.0 | H 1.919 | V 0.038 | pL 0.001 | vL 0.001 | ∇ 0.022
U 21 | F 043008 | FPS 0671 | D 65 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.944 | V 0.005 | pL 0.001 | vL 0.000 | ∇ 0.003
U 22 | F 045056 | FPS 0666 | D 68 | rR:μσmM 0.20 0.24 0.00 0.66 | F:μσmM 267.0 70.8 121.0 324.0 | H 1.913 | V 0.062 | pL -0.014 | vL 0.002 | ∇ 0.038
U 22 | F 045056 | FPS 0661 | D 68 | rR:μσmM 0.03 0.13 0.00 0.55 | F:μσmM 313.9 39.2 162.0 324.0 | H 1.937 | V 0.009 | pL -0.004 | vL 0.001 | ∇ 0.026
U 23 | F 047104 | FPS 0667 | D 71 | rR:μσmM 0.27 0.27 0.00 0.83 | F:μσmM 248.8 80.4 62.0 324.0 | H 1.915 | V 0.070 | pL 0.001 | vL 0.002 | ∇ 0.091
U 23 | F 047104 | FPS 0667 | D 71 | rR:μσmM 0.08 0.17 0.00 0.55 | F:μσmM 302.7 46.8 162.0 324.0 | H 1.935 | V 0.008 | pL -0.001 | vL 0.000 | ∇ 0.013
U 24 | F 049152 | FPS 0669 | D 74 | rR:μσmM 0.29 0.31 0.00 0.74 | F:μσmM 236.4 92.9 95.0 324.0 | H 1.902 | V 0.101 | pL -0.014 | vL 0.004 | ∇ 0.076
U 24 | F 049152 | FPS 0668 | D 74 | rR:μσmM 0.08 0.17 0.00 0.55 | F:μσmM 302.7 46.8 162.0 324.0 | H 1.942 | V 0.007 | pL 0.002 | vL 0.000 | ∇ 0.004
U 25 | F 051200 | FPS 0669 | D 77 | rR:μσmM 0.35 0.33 0.00 0.80 | F:μσmM 216.9 103.5 73.0 324.0 | H 1.891 | V 0.091 | pL -0.013 | vL 0.005 | ∇ 0.077
U 25 | F 051200 | FPS 0668 | D 78 | rR:μσmM 0.02 0.05 0.00 0.20 | F:μσmM 321.3 8.8 288.0 324.0 | H 1.939 | V 0.008 | pL -0.001 | vL 0.000 | ∇ 0.010
U 26 | F 053248 | FPS 0673 | D 80 | rR:μσmM 0.47 0.29 0.00 0.84 | F:μσmM 183.6 93.5 57.0 324.0 | H 1.864 | V 0.125 | pL -0.011 | vL 0.005 | ∇ 0.057
U 26 | F 053248 | FPS 0665 | D 81 | rR:μσmM 0.02 0.05 0.00 0.20 | F:μσmM 321.3 8.8 288.0 324.0 | H 1.944 | V 0.004 | pL 0.001 | vL 0.000 | ∇ 0.004
U 27 | F 055296 | FPS 0668 | D 84 | rR:μσmM 0.39 0.36 0.00 0.85 | F:μσmM 207.2 113.5 53.0 324.0 | H 1.823 | V 0.172 | pL -0.028 | vL 0.009 | ∇ 0.061
U 27 | F 055296 | FPS 0667 | D 84 | rR:μσmM 0.08 0.19 0.00 0.61 | F:μσmM 301.9 57.4 140.0 324.0 | H 1.936 | V 0.015 | pL -0.008 | vL 0.002 | ∇ 0.037
U 28 | F 057344 | FPS 0672 | D 87 | rR:μσmM 0.69 0.19 0.24 0.91 | F:μσmM 112.0 68.1 32.0 274.0 | H 1.788 | V 0.229 | pL -0.057 | vL 0.009 | ∇ 0.130
U 28 | F 057344 | FPS 0667 | D 87 | rR:μσmM 0.07 0.19 0.00 0.61 | F:μσmM 302.3 57.5 140.0 324.0 | H 1.938 | V 0.007 | pL 0.002 | vL 0.000 | ∇ 0.012
