U 17 | F 034816 | FPS 0725 | D 49 | rR:μσmM 0.09 0.19 0.00 0.54 | F:μσmM 298.7 53.4 167.0 324.0 | H 1.934 | V 0.016 | pL -0.005 | vL 0.001 | ∇ 0.052
U 16 | F 032768 | FPS 0674 | D 49 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.944 | V -0.028 | pL -0.008 | vL 0.000 | ∇ 0.010
U 18 | F 036864 | FPS 0721 | D 51 | rR:μσmM 0.09 0.19 0.00 0.54 | F:μσmM 298.3 54.2 167.0 324.0 | H 1.932 | V 0.017 | pL -0.001 | vL 0.001 | ∇ 0.021
U 17 | F 034816 | FPS 0669 | D 52 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.945 | V -0.022 | pL -0.005 | vL 0.000 | ∇ 0.008
U 19 | F 038912 | FPS 0729 | D 54 | rR:μσmM 0.13 0.24 0.00 0.80 | F:μσmM 286.9 71.4 73.0 324.0 | H 1.934 | V 0.029 | pL -0.010 | vL 0.002 | ∇ 0.043
U 18 | F 036864 | FPS 0675 | D 55 | rR:μσmM 0.03 0.08 0.00 0.24 | F:μσmM 318.2 15.5 272.0 324.0 | H 1.940 | V -0.012 | pL -0.009 | vL 0.000 | ∇ 0.015
U 20 | F 040960 | FPS 0727 | D 57 | rR:μσmM 0.12 0.22 0.00 0.80 | F:μσmM 291.4 66.6 73.0 324.0 | H 1.934 | V 0.033 | pL -0.001 | vL 0.001 | ∇ 0.051
Status saved
U 19 | F 038912 | FPS 0670 | D 58 | rR:μσmM 0.07 0.16 0.00 0.61 | F:μσmM 306.8 45.5 141.0 324.0 | H 1.938 | V -0.006 | pL -0.008 | vL 0.001 | ∇ 0.021
U 21 | F 043008 | FPS 0728 | D 60 | rR:μσmM 0.26 0.31 0.00 0.81 | F:μσmM 245.8 95.4 68.0 324.0 | H 1.910 | V 0.061 | pL -0.017 | vL 0.005 | ∇ 0.078
U 20 | F 040960 | FPS 0670 | D 61 | rR:μσmM 0.04 0.15 0.00 0.61 | F:μσmM 312.6 44.3 141.0 324.0 | H 1.939 | V -0.007 | pL -0.002 | vL 0.000 | ∇ 0.013
Status saved
U 22 | F 045056 | FPS 0732 | D 63 | rR:μσmM 0.49 0.32 0.00 0.91 | F:μσmM 175.9 99.8 33.0 324.0 | H 1.877 | V 0.090 | pL -0.030 | vL 0.007 | ∇ 0.058
U 21 | F 043008 | FPS 0677 | D 64 | rR:μσmM 0.09 0.23 0.00 0.79 | F:μσmM 297.3 71.7 76.0 324.0 | H 1.937 | V 0.005 | pL -0.013 | vL 0.002 | ∇ 0.024
U 23 | F 047104 | FPS 0727 | D 66 | rR:μσmM 0.49 0.34 0.00 0.91 | F:μσmM 173.9 111.2 33.0 324.0 | H 1.880 | V 0.090 | pL -0.009 | vL 0.005 | ∇ 0.120
U 22 | F 045056 | FPS 0667 | D 68 | rR:μσmM 0.12 0.26 0.00 0.79 | F:μσmM 286.2 80.0 76.0 324.0 | H 1.940 | V 0.007 | pL -0.005 | vL 0.001 | ∇ 0.023
U 24 | F 049152 | FPS 0731 | D 69 | rR:μσmM 0.58 0.32 0.00 0.93 | F:μσmM 148.5 108.8 25.0 324.0 | H 1.821 | V 0.144 | pL -0.058 | vL 0.017 | ∇ 0.171
U 23 | F 047104 | FPS 0670 | D 71 | rR:μσmM 0.12 0.24 0.00 0.79 | F:μσmM 288.2 72.2 76.0 324.0 | H 1.933 | V 0.011 | pL -0.003 | vL 0.001 | ∇ 0.015
U 25 | F 051200 | FPS 0733 | D 72 | rR:μσmM 0.70 0.30 0.00 0.95 | F:μσmM 105.3 97.7 19.0 324.0 | H 1.743 | V 0.199 | pL -0.068 | vL 0.017 | ∇ 0.196
U 24 | F 049152 | FPS 0671 | D 74 | rR:μσmM 0.04 0.10 0.00 0.31 | F:μσmM 314.9 24.2 248.0 324.0 | H 1.934 | V 0.009 | pL -0.002 | vL 0.000 | ∇ 0.018
U 26 | F 053248 | FPS 0748 | D 74 | rR:μσmM 0.80 0.22 0.00 0.94 | F:μσmM 70.4 77.6 20.0 324.0 | H 1.614 | V 0.413 | pL -0.126 | vL 0.026 | ∇ 0.145
U 25 | F 051200 | FPS 0672 | D 77 | rR:μσmM 0.08 0.17 0.00 0.49 | F:μσmM 302.1 46.2 185.0 324.0 | H 1.931 | V 0.018 | pL -0.004 | vL 0.001 | ∇ 0.065
U 27 | F 055296 | FPS 0752 | D 77 | rR:μσmM 0.90 0.10 0.21 0.96 | F:μσmM 36.6 37.6 16.0 283.0 | H 1.408 | V 0.614 | pL -0.140 | vL 0.017 | ∇ 0.214
U 28 | F 057344 | FPS 0754 | D 80 | rR:μσmM 0.92 0.07 0.41 0.96 | F:μσmM 30.2 24.1 16.0 211.0 | H 1.320 | V 0.724 | pL -0.093 | vL 0.006 | ∇ 0.108
U 26 | F 053248 | FPS 0648 | D 80 | rR:μσmM 0.08 0.17 0.00 0.49 | F:μσmM 302.1 46.2 185.0 324.0 | H 1.942 | V -0.004 | pL -0.001 | vL 0.000 | ∇ 0.016
